event_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius
492,,,0
493,,,0
494,,,0
495,,,0
496,,,0
497,,,0
498,,,0
499,,,0
500,,,0
501,,,0
502,98.80055312,industrial_works,42
503,94.9629948,industrial_area,42
504,,,0
505,,,0
506,,,0
507,,,0
508,,,0
509,,,0
510,,,0
511,225.1503183,industrial_area,19
512,349.52571077,industrial_area,18
513,91.33737385,industrial_area,19
514,156.33101948,industrial_area,19
515,345.79861488,industrial_area,64
516,1434.21566344,power_plant,3
517,1729.95183004,power_plant,3
518,4813.20610869,industrial_area,1
519,,,0
520,,,0
521,,,0
522,,,0
523,,,0
524,,,0
525,,,0
526,,,0
527,,,0
528,,,0
529,,,0
530,,,0
531,,,0
532,,,0
533,3445.23005586,power_plant,1
534,,,0
535,,,0
536,,,0
537,,,0
538,,,0
539,,,0
540,,,0
541,,,0
542,,,0
543,850.6414093,industrial_area,2
544,1274.68284341,industrial_area,2
545,4020.18108286,industrial_works,1
546,3775.61283754,industrial_works,1
547,4412.2960989,industrial_area,1
548,,,0
549,2601.96099055,industrial_area,1
550,,,0
551,1759.8559695,industrial_area,1
552,2145.46346119,industrial_area,1
553,,,0
554,,,0
555,,,0
556,,,0
557,4810.98319315,power_plant,1
558,,,0
559,,,0
560,,,0
561,,,0
562,,,0
563,,,0
564,,,0
565,,,0
566,,,0
567,,,0
568,3541.09842363,industrial_works,1
569,3144.15332774,industrial_works,1
570,,,0
571,4828.57687275,industrial_area,1
572,4348.32556734,industrial_works,1
573,,,0
574,3806.60407241,power_plant,1
575,,,0
576,3843.63055479,power_plant,1
577,,,0
578,4732.14012623,industrial_area,2
579,4816.1427472,industrial_area,2
580,4403.02192934,industrial_area,1
581,,,0
582,,,0
583,2723.12150375,industrial_works,2
584,,,0
585,,,0
586,,,0
587,,,0
588,,,0
589,,,0
590,,,0
591,,,0
592,,,0
593,,,0
594,,,0
595,,,0
596,,,0
597,,,0
598,,,0
599,,,0
600,,,0
601,,,0
602,,,0
603,,,0
604,,,0
605,,,0
606,,,0
607,,,0
608,,,0
609,,,0
610,,,0
611,4790.3155053,industrial_area,1
612,,,0
613,4564.37094104,power_plant,1
614,3751.02080398,industrial_area,1
615,,,0
616,,,0
617,,,0
618,,,0
619,4144.79215692,industrial_area,1
620,,,0
621,,,0
622,,,0
623,,,0
624,,,0
625,,,0
626,,,0
627,,,0
628,,,0
629,,,0
630,2283.3649455,industrial_area,3
631,,,0
632,,,0
633,,,0
634,,,0
635,,,0
636,,,0
637,,,0
638,,,0
639,,,0
640,,,0
641,,,0
642,,,0
643,,,0
644,,,0
645,,,0
646,,,0
647,,,0
648,,,0
649,,,0
650,,,0
651,,,0
652,,,0
653,,,0
654,,,0
655,,,0
656,,,0
657,4009.14028598,power_plant,1
658,,,0
659,1103.03662984,industrial_area,6
660,,,0
661,,,0
662,,,0
663,3016.33897754,power_plant,1
664,3653.41553434,industrial_area,1
665,,,0
666,,,0
667,,,0
668,,,0
669,,,0
670,206.10595632,industrial_area,2
671,,,0
672,,,0
673,,,0
674,,,0
675,970.56309241,power_plant,2
676,,,0
677,,,0
678,1120.2826572,power_plant,2
679,1046.94332839,power_plant,2
680,,,0
681,,,0
682,,,0
683,,,0
684,,,0
685,,,0
686,,,0
687,,,0
688,,,0
689,1202.31521818,industrial_area,1
690,3430.50479546,industrial_area,3
691,,,0
692,,,0
693,1849.3228127,industrial_area,3
694,4207.91019662,industrial_area,1
695,,,0
696,,,0
697,,,0
698,,,0
699,,,0
700,,,0
701,,,0
702,,,0
703,,,0
704,,,0
705,,,0
706,,,0
707,,,0
708,,,0
709,,,0
710,,,0
711,,,0
712,,,0
713,,,0
714,,,0
715,,,0
716,,,0
717,2889.34626873,industrial_area,3
718,4191.29681603,industrial_area,2
719,,,0
720,,,0
721,,,0
722,,,0
723,,,0
724,,,0
725,,,0
726,,,0
727,,,0
728,,,0
729,,,0
730,,,0
731,,,0
732,,,0
733,,,0
734,,,0
735,,,0
736,,,0
737,746.54225885,industrial_area,10
738,431.88256106,industrial_area,9
739,230.12421614,industrial_area,4
740,120.97222063,industrial_area,4
741,350.03666805,industrial_area,2
742,345.15771503,industrial_area,4
743,165.00363038,industrial_area,4
744,522.87832114,industrial_area,4
745,248.01030911,industrial_area,11
746,491.87517872,industrial_area,1
747,,,0
748,,,0
749,574.97309554,industrial_area,2
750,256.55781651,industrial_area,5
751,4555.3554805,industrial_works,1
752,4486.5972592,industrial_works,1
753,,,0
754,,,0
755,87.03285599,industrial_area,3
756,448.9679877,industrial_area,3
757,316.9435756,industrial_area,3
758,761.62853322,industrial_area,8
759,663.4391148,power_plant,2
760,647.24058572,pipeline,58
761,2196.96257747,industrial_area,4
762,1246.72692615,industrial_area,27
763,,,0
764,383.11467822,power_plant,4
765,205.49366145,industrial_area,5
766,,,0
767,,,0
768,,,0
769,319.84154394,industrial_area,48
770,436.86517472,industrial_area,48
771,186.87962752,industrial_area,31
772,136.61696819,industrial_area,5
773,2699.78465385,industrial_area,17
774,,,0
775,2823.41338896,power_plant,2
776,251.12308066,power_plant,2
777,790.38868626,power_plant,1
778,422.36326135,power_plant,2
779,,,0
780,,,0
781,,,0
782,,,0
783,,,0
784,,,0
785,,,0
786,,,0
787,,,0
788,4654.38107228,power_plant,1
789,,,0
790,3194.61979977,power_plant,2
791,,,0
792,,,0
793,,,0
794,,,0
795,,,0
796,,,0
797,,,0
798,,,0
799,,,0
800,,,0
801,,,0
802,,,0
803,,,0
804,,,0
805,,,0
806,2600.71940153,power_plant,2
807,,,0
808,,,0
809,,,0
810,,,0
811,,,0
812,,,0
813,,,0
814,900.3207209,power_plant,3
815,,,0
816,,,0
817,,,0
818,,,0
819,,,0
820,,,0
821,4851.06434153,industrial_area,1
822,,,0
823,,,0
824,,,0
825,,,0
826,,,0
827,,,0
828,,,0
829,,,0
830,,,0
831,,,0
832,2784.66393832,power_plant,1
833,,,0
834,3981.6824102,industrial_works,1
835,,,0
836,,,0
837,,,0
838,,,0
839,,,0
840,,,0
841,,,0
842,,,0
843,,,0
844,,,0
845,,,0
846,,,0
847,2616.09626636,industrial_area,1
848,,,0
849,,,0
850,,,0
851,2026.95030237,industrial_area,9
852,2107.63865209,industrial_area,8
853,,,0
854,,,0
855,,,0
856,695.77391432,industrial_area,6
857,1962.03804623,industrial_area,4
858,4311.04037418,industrial_area,1
859,,,0
860,4173.46917895,industrial_area,2
861,3327.45633827,industrial_area,2
862,,,0
863,,,0
864,4979.29963148,industrial_area,1
865,,,0
866,,,0
867,,,0
868,,,0
869,,,0
870,,,0
871,,,0
872,3443.85356092,industrial_area,3
873,,,0
874,,,0
875,,,0
876,4355.62612185,industrial_area,1
877,1134.24773254,industrial_area,1
878,,,0
879,,,0
880,,,0
881,1379.73712317,industrial_area,1
882,,,0
883,,,0
884,,,0
885,,,0
886,,,0
887,451.05267149,industrial_area,8
888,,,0
889,,,0
890,,,0
891,,,0
892,,,0
893,,,0
894,,,0
895,,,0
896,,,0
897,,,0
898,,,0
899,,,0
900,,,0
901,,,0
902,295.93812533,industrial_area,4
