event_id,latitude,longitude,event_date,event_time,confidence,bright_ti4,bright_ti5,frp,daynight,cluster_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius,total_detections,active_days,cluster_mean_frp,cluster_max_frp,persistence_score,ndvi_mean,ndbi_mean,ndwi_mean,swir1_mean,swir2_mean,valid_pixel_fraction
2177,8.34342,80.71103,2026-09-12,07:44:00,n,341.93,297.67,9.23,D,,,,0,1.0,1.0,,,0.0,0.3651026664562166,0.0696853598473396,-0.5003770302303043,0.340130932519969,0.2206865966491022,1.0
2180,8.39278,80.76662,2026-09-12,07:44:00,n,332.4,298.94,3.19,D,,,,0,1.0,1.0,,,0.0,0.3594778049848878,0.0459463300877941,-0.4670941812971969,0.3380013673049689,0.2180653076084127,1.0
2181,8.4037,80.7243,2026-09-12,07:44:00,n,332.6,296.75,4.68,D,,,,0,1.0,1.0,,,0.0,0.3774258052151765,0.0511897100503756,-0.489533365138309,0.3165607666114738,0.2116838378069587,1.0
2182,8.41152,80.47382,2026-09-12,07:44:00,n,332.11,295.01,4.59,D,,4666.2437685,industrial_area,1,1.0,1.0,,,0.0,0.5090115138555065,-0.0450732568531335,-0.5470949672147698,0.2784067676192153,0.1682929147518179,0.999267578125
2185,8.47682,80.30786,2026-09-12,07:44:00,n,342.74,299.2,12.13,D,,,,0,1.0,1.0,,,0.0,0.3864257084742156,0.0564872625787645,-0.4864775859592297,0.3462820539811129,0.22886141812233,0.99853515625
2194,8.51454,80.52853,2026-09-12,07:44:00,n,342.04,289.26,4.56,D,,,,0,1.0,1.0,,,0.0,0.3313542864379872,0.0154782724661611,-0.4010280669232512,0.2776257952491921,0.1833711978585957,0.982421875
2198,8.52454,80.85271,2026-09-12,07:44:00,n,343.01,295.49,5.59,D,,,,0,1.0,1.0,,,0.0,0.4133818001182648,0.0009763646591722,-0.4818502952749773,0.3366206299488112,0.2220489257961162,1.0
2205,8.58621,80.50359,2026-09-12,07:44:00,n,351.29,290.99,13.18,D,,,,0,1.0,1.0,,,0.0,0.4344651238882597,0.0028629217968203,-0.5002191526540523,0.2938509033847367,0.1869723388713282,1.0
2208,8.6155,80.67295,2026-09-12,07:44:00,n,341.54,299.02,7.89,D,,3183.53612034,industrial_area,1,1.0,1.0,,,0.0,0.5351596282521554,-0.0837766543138495,-0.5489126280374403,0.2511167723623657,0.153492993128566,1.0
2209,8.61842,80.50272,2026-09-12,07:44:00,n,331.51,290.19,5.02,D,,,,0,1.0,1.0,,,0.0,0.4231690513525132,0.0010974235606514,-0.4888898745730599,0.2808637863127545,0.1813687378281432,0.75439453125
2210,8.62782,80.84911,2026-09-12,07:44:00,n,338.52,291.24,4.35,D,,,,0,1.0,1.0,,,0.0,0.6370238212558885,-0.1481467068884765,-0.6107516306731907,0.2157748962278331,0.1163596337131237,0.999755859375
2213,8.70739,80.73883,2026-09-12,07:44:00,n,344.89,298.03,7.23,D,,,,0,1.0,1.0,,,0.0,0.552100407860622,-0.0825229461844011,-0.5748677979626661,0.256734350534316,0.1525120849664745,1.0
2222,8.94233,80.81985,2026-09-12,07:44:00,n,330.41,299.88,6.32,D,,,,0,1.0,1.0,,,0.0,0.3714447660656321,-0.0101015870357711,-0.4743442838174037,0.3454223388835089,0.2207003174644342,1.0
2226,8.98522,80.06801,2026-09-12,07:44:00,n,338.48,299.79,5.14,D,,,,0,1.0,1.0,,,0.0,0.3828193668593452,0.0510618732512972,-0.4605756699793849,0.2811776366543199,0.1902508055991347,1.0
2230,9.06973,77.52162,2026-09-12,07:44:00,n,334.25,300.96,1.1,D,,3648.3166583,power_plant,2,1.0,1.0,,,0.0,0.2465863738672649,0.092465179874759,-0.4369256468176014,0.3552154296812659,0.2716262451758666,1.0
2231,9.192,77.81502,2026-09-12,07:44:00,n,338.44,297.68,10.03,D,,1634.22698207,industrial_area,1,1.0,1.0,,,0.0,0.2132604827975092,0.1131537987571744,-0.3593060155045111,0.3053908691217657,0.2428457520572919,1.0
2234,9.24338,80.70864,2026-09-12,07:44:00,n,330.14,298.32,5.66,D,,,,0,1.0,1.0,,,0.0,0.2829865260845733,0.1387904489108477,-0.417600024344731,0.4033213133825484,0.2823181639805625,1.0
2235,9.40158,80.37805,2026-09-12,07:44:00,n,332.67,297.28,3.56,D,,,,0,1.0,1.0,,,0.0,0.3860009594094218,0.0336010260217942,-0.4723444983591379,0.317561035099061,0.2131715820796671,1.0
2237,9.67016,78.19058,2026-09-12,07:44:00,n,334.88,288.66,1.73,D,,3603.85051216,power_plant,1,1.0,1.0,,,0.0,0.2175253307959456,0.1787943675982392,-0.3675473648979929,0.4276024901464552,0.373138989234576,1.0
2238,11.93996,77.03573,2026-09-12,07:44:00,n,335.16,295.58,2.4,D,,,,0,1.0,1.0,,,0.0,0.5055207256299964,-0.0870219416038765,-0.4805838407706134,0.2662102941521048,0.1813151634967843,0.7470703125
2251,29.46977,71.59311,2026-09-12,07:50:00,l,330.16,300.46,1.85,D,,,,0,1.0,1.0,,,0.0,0.4789219901701582,-0.1365445954848473,-0.4704580901788019,0.2802712156299094,0.2164425536093404,1.0
2252,29.9203,72.90961,2026-09-12,07:50:00,n,335.74,298.63,3.43,D,,,,0,1.0,1.0,,,0.0,0.6235642965814124,-0.2178478417786681,-0.5901021385528846,0.2223214843834284,0.1479536377300974,1.0
2253,30.45917,73.82764,2026-09-12,07:50:00,n,341.62,297.77,7.42,D,,,,0,1.0,1.0,,,0.0,0.5940416273400433,-0.1969938672040012,-0.5608572346473347,0.2096188721443468,0.1382837890159862,1.0
2254,30.47937,73.85507,2026-09-12,07:50:00,n,335.12,297.82,3.01,D,,,,0,1.0,1.0,,,0.0,0.3886858479382452,-0.0675864669032588,-0.416228801164391,0.2536735106568812,0.1982431885408004,1.0
2255,30.92336,74.30084,2026-09-12,07:50:00,n,332.99,296.48,1.8,D,,,,0,1.0,1.0,,,0.0,0.6262866926234818,-0.2384707394593506,-0.5771487269513758,0.2221458252352022,0.1417000488108897,1.0
2256,30.97024,74.48008,2026-09-12,07:50:00,n,340.54,295.1,4.6,D,,,,0,1.0,1.0,,,0.0,0.427732496119218,-0.057521411905073,-0.4379882732561923,0.2765095946469955,0.2149684082378371,1.0
2257,31.06606,74.47954,2026-09-12,07:50:00,n,341.94,297.48,8.61,D,,,,0,1.0,1.0,,,0.0,0.6171611402502686,-0.2175510602668098,-0.5753115363907997,0.232050903236086,0.1492640868400485,1.0
2258,31.12898,74.61642,2026-09-12,07:50:00,n,349.42,297.29,6.74,D,,,,0,1.0,1.0,,,0.0,0.6241845088806797,-0.230248641358971,-0.5903711021627567,0.2302487792039755,0.1556290771750355,1.0
2259,31.16105,74.82891,2026-09-12,07:50:00,n,336.12,295.62,2.47,D,,,,0,1.0,1.0,,,0.0,0.7985934769926106,-0.4264952551795648,-0.7122955172718812,0.1581443603972729,0.0868466797574001,1.0
2260,31.38129,74.53933,2026-09-12,07:50:00,n,342.57,296.29,10.36,D,,,,0,1.0,1.0,,,0.0,0.5370683056166274,-0.1485335888665659,-0.5138620254131043,0.2427462646046478,0.1686113281248253,1.0
2261,31.6174,75.06292,2026-09-12,07:50:00,n,333.18,298.2,3.5,D,,,,0,1.0,1.0,,,0.0,0.5242729246919638,-0.1414791565527602,-0.5249476269964953,0.2750057617267885,0.1881124510637164,1.0
2262,31.87394,74.68877,2026-09-12,07:50:00,n,330.02,294.86,2.76,D,,,,0,1.0,1.0,,,0.0,0.7111812918562347,-0.3025697496924051,-0.6480198796609089,0.1982111572033318,0.1150072510063182,1.0
2263,23.34302,68.96366,2026-09-12,09:28:00,n,337.57,296.07,4.42,D,,,,0,1.0,1.0,,,0.0,0.199077653189993,0.0739313256590443,-0.2915502344002516,0.3652911768991406,0.2999681931395991,0.5810546875
2267,25.78301,68.57213,2026-09-12,09:28:00,l,330.23,304.31,1.74,D,,,,0,1.0,1.0,,,0.0,0.5430167882583442,-0.1681082056662507,-0.5294154341984039,0.2328608153388813,0.1520290772796215,1.0
2273,26.52341,90.53152,2026-09-03,07:16:00,n,337.85,295.1,3.17,D,,437.18258321,industrial_area,1,1.0,1.0,,,0.0,0.5778776979932524,-0.1100148309165244,-0.4768765963675925,0.2739406188715801,0.1692796436664395,0.26025390625
2274,26.80206,90.32026,2026-09-03,07:16:00,n,331.09,295.86,4.05,D,,,,0,1.0,1.0,,,0.0,0.8093034920807676,-0.2379122899099967,-0.6797284370612684,0.2114634766003291,0.1032498046106411,1.0
2275,26.88079,92.32764,2026-09-03,07:16:00,n,335.88,295.78,6.54,D,,,,0,1.0,1.0,,,0.0,0.6875618405788924,-0.1743107747551457,-0.569542668080552,0.181103027320205,0.1000818604252344,1.0
2279,28.181,95.66731,2026-09-03,07:16:00,n,333.32,294.3,5.65,D,,,,0,1.0,1.0,,,0.0,0.5680231034014449,-0.1038716753328878,-0.4929397191789043,0.2212193602935031,0.1430293213080631,1.0
2284,7.13617,80.9217,2026-09-03,08:52:00,n,341.43,293.8,10.53,D,,,,0,1.0,1.0,,,0.0,0.6489932359359041,-0.1349372319950398,-0.6204259768576409,0.2624484130465134,0.1484740722426067,1.0
2295,7.75647,81.23419,2026-09-03,08:52:00,n,331.0,293.04,4.19,D,,,,0,1.0,1.0,,,0.0,0.4020986894749424,0.083071484761331,-0.4817960264886244,0.3565576660030274,0.2412222902121357,1.0
2297,7.9395,81.25786,2026-09-03,08:52:00,n,336.74,293.41,3.46,D,,4698.36963232,power_plant,1,1.0,1.0,,,0.0,0.4641597505895303,-0.0134316448746847,-0.5071870591223906,0.3122921143058192,0.2037000976833951,1.0
2299,8.05333,80.59547,2026-09-03,08:52:00,n,333.4,293.4,3.63,D,,4620.85092438,industrial_works,1,1.0,1.0,,,0.0,0.5411371052563025,-0.0734534655086253,-0.5633163680373917,0.2538595426254125,0.1603862026562493,0.99267578125
2303,8.1625,81.34946,2026-09-03,08:52:00,h,367.0,293.1,19.64,D,,,,0,1.0,1.0,,,0.0,0.4197369737472987,0.0354439098307914,-0.4546584174485083,0.2973938965751586,0.204257226579557,1.0
2304,8.20065,81.06894,2026-09-03,08:52:00,n,330.69,292.24,3.11,D,,,,0,1.0,1.0,,,0.0,0.4299588508239839,-0.0057390880611702,-0.4996239129922848,0.3655924559197956,0.2364126221646074,1.0
2307,8.21999,80.57515,2026-09-03,08:52:00,n,330.34,292.01,1.81,D,,,,0,1.0,1.0,,,0.0,0.3466646771261678,0.0463534936005236,-0.4630523883049826,0.3306548717773713,0.2172655840089662,0.93212890625
2314,8.4028,80.65507,2026-09-03,08:52:00,n,332.44,293.37,5.58,D,,,,0,1.0,1.0,,,0.0,0.3848701459418299,0.0289799510711192,-0.478727918501996,0.2891306121929113,0.1888635602880673,0.992919921875
2329,8.81097,78.0528,2026-09-03,08:52:00,n,333.07,298.05,0.97,D,,2485.69611244,industrial_area,11,1.0,1.0,,,0.0,0.1927413375440269,0.1239949753767493,-0.3005160034474524,0.2723679931459628,0.2271989501914504,1.0
2330,8.82872,80.53358,2026-09-03,08:52:00,n,335.37,291.51,7.51,D,,783.64372126,power_plant,1,1.0,1.0,,,0.0,0.4730975552178439,-0.0255530480947786,-0.5338935192594529,0.267363798033034,0.1678390801520534,0.865234375
2336,9.09281,79.79891,2026-09-03,08:52:00,n,331.83,291.7,4.75,D,,,,0,1.0,1.0,,,0.0,0.1183537169945769,0.0620072614091308,-0.0837012587737364,0.225951904505564,0.1741673827445993,1.0
2341,9.40996,78.80921,2026-09-03,08:52:00,n,341.22,292.88,0.73,D,,4945.08400737,industrial_area,1,1.0,1.0,,,0.0,0.2862139328862857,0.0921368190963999,-0.3686872889205675,0.3253844726823445,0.2486779541195574,1.0
2342,10.23653,79.19613,2026-09-03,08:52:00,h,367.0,294.56,11.42,D,,,,0,1.0,1.0,,,0.0,0.3168183399908687,0.077838697692667,-0.4098099582656816,0.3813412441227521,0.2987828303018402,0.784912109375
2348,18.56307,74.36423,2026-09-03,08:56:00,n,332.55,297.39,7.46,D,,,,0,1.0,1.0,,,0.0,0.4457405497138169,-0.0587245538228832,-0.4501079967647783,0.1973063476225434,0.1307182618452316,1.0
2355,29.88983,73.90404,2026-09-03,08:58:00,n,333.23,296.63,1.81,D,,,,0,1.0,1.0,,,0.0,0.344069783392891,-0.039192332896771,-0.3645271412567324,0.3027413572044679,0.2420741211199129,1.0
2356,32.51342,82.42087,2026-09-03,19:40:00,n,311.6,277.11,0.12,N,,,,0,1.0,1.0,,,0.0,0.1170848427265026,0.0292249067496976,-0.2340630226182657,0.3696208738911082,0.3189024905732367,1.0
2428,17.3574,76.87903,2026-09-03,19:47:00,n,295.01,274.37,0.63,N,,3749.35095103,industrial_area,2,1.0,1.0,,,0.0,0.3282787619400356,-0.0234834239543729,-0.3620126619148199,0.2633647984428995,0.186651149464921,0.169921875
2433,22.38261,73.12849,2026-09-03,21:23:00,n,303.37,289.72,0.81,N,,814.43320435,industrial_area,30,1.0,1.0,,,0.0,0.3303580234749703,-0.0683980502336982,-0.3047867742387953,0.2507922461468405,0.1952320854211577,0.63916015625
2439,22.97782,72.56509,2026-09-03,21:23:00,n,308.61,291.96,1.43,N,,357.25636562,industrial_area,28,1.0,1.0,,,0.0,,,,,,
2449,31.42277,72.99947,2026-09-03,21:23:00,n,312.39,295.47,0.81,N,,,,0,1.0,1.0,,,0.0,0.3296960770630932,-0.027578314049908,-0.371372047847102,0.2797118653288635,0.2269399414180952,1.0
2472,19.67624,71.67017,2026-09-03,21:25:00,n,324.65,288.96,2.7,N,,,,0,1.0,1.0,,,0.0,-0.0342316907041887,0.012348743496036,0.0887651606620891,0.043567871207415,0.0373553957429066,1.0
2492,12.75382,92.88086,2026-09-04,06:54:00,n,332.85,284.25,2.49,D,,,,0,1.0,1.0,,,0.0,0.6651704763587147,-0.3517406174256771,-0.5704549017599808,0.1941505182432634,0.1038182846302979,0.259033203125
2493,24.00891,96.12032,2026-09-04,06:57:00,n,332.91,294.47,2.33,D,,,,0,1.0,1.0,,,0.0,,,,,,
2494,24.25894,96.54393,2026-09-04,06:57:00,n,347.19,296.6,9.92,D,,,,0,1.0,1.0,,,0.0,0.3365056968497441,0.0280878567060409,-0.2922645547857948,0.1800961426934009,0.1166934814654041,1.0
2495,24.71857,96.31367,2026-09-04,06:57:00,n,334.03,294.78,1.73,D,,4771.84250949,industrial_area,1,1.0,1.0,,,0.0,0.7203800870154045,-0.2059580813511606,-0.6243790615454619,0.2022658841201037,0.1066221659737257,0.915283203125
2497,29.18748,88.53117,2026-09-04,06:59:00,n,326.49,296.03,2.61,D,,,,0,1.0,1.0,,,0.0,0.227770226952084,0.0994923684661715,-0.2689791506042199,0.3514772254832085,0.2726370378095367,0.93798828125
2500,29.29299,88.90841,2026-09-04,06:59:00,n,325.44,291.36,2.5,D,,,,0,1.0,1.0,,,0.0,0.2819409325595044,-0.001092810992177,-0.2970699607908273,0.3063235137626097,0.2429761578311377,0.817138671875
2501,36.3825,95.11243,2026-09-04,06:59:00,n,353.38,316.06,12.39,D,,217.21763663,power_plant,18,1.0,1.0,,,0.0,0.0364424709729815,0.1846582813812715,-0.1344327316720295,0.337355590898369,0.3298959230342007,1.0
2507,6.34224,81.12547,2026-09-04,08:33:00,n,337.03,295.21,3.7,D,,,,0,1.0,1.0,,,0.0,0.3880121080889097,0.0853692635867409,-0.4648333884170814,0.3148127809614817,0.2074000000733361,0.9990234375
2510,6.47065,81.08218,2026-09-04,08:33:00,n,333.3,296.32,3.72,D,,,,0,1.0,1.0,,,0.0,0.4844684192673963,-0.0028408361296088,-0.518010786271601,0.2854011259435002,0.1759679805168214,0.997314453125
2512,6.66989,80.91605,2026-09-04,08:33:00,n,331.85,292.44,0.71,D,,,,0,1.0,1.0,,,0.0,0.6655287589347996,-0.1584486700896112,-0.6343401140974305,0.2417043456734973,0.1368103515305847,1.0
2523,7.20339,81.01457,2026-09-04,08:33:00,n,333.96,299.99,6.32,D,,,,0,1.0,1.0,,,0.0,0.434576007258918,-0.0401568143363038,-0.4618528854156328,0.2847831056144514,0.1797081543129479,1.0
2524,7.30575,81.13636,2026-09-04,08:33:00,n,334.07,300.21,5.23,D,,,,0,1.0,1.0,,,0.0,0.4774319660147879,-0.0361000152170094,-0.5363412571168605,0.2896149900861928,0.1803162109354161,1.0
2527,7.38462,79.87064,2026-09-04,08:33:00,n,333.64,294.39,2.9,D,,,,0,1.0,1.0,,,0.0,0.5642080307426177,-0.1720868222424343,-0.5343308018772386,0.2662521334687869,0.1603914665877819,0.18310546875
2537,7.61087,80.83186,2026-09-04,08:33:00,n,332.6,297.87,3.4,D,,,,0,1.0,1.0,,,0.0,0.5525151939522406,-0.1314980894893328,-0.5632582275679128,0.2597816649422384,0.1555333251003503,1.0
2538,7.65727,80.49637,2026-09-04,08:33:00,n,331.97,293.6,1.91,D,,,,0,1.0,1.0,,,0.0,0.5783382842953131,-0.1611679331790265,-0.5532248130783696,0.2426115816280161,0.144005508546186,0.1728515625
2539,7.66027,79.91571,2026-09-04,08:35:00,n,330.12,294.01,4.3,D,,,,0,1.0,1.0,,,0.0,0.583164528949671,-0.1662063806539692,-0.5535203048920465,0.2801081842654163,0.1593051339039534,0.328125
2540,7.69514,80.13086,2026-09-04,08:35:00,n,343.92,297.8,5.45,D,,3034.58108422,industrial_area,4,1.0,1.0,,,0.0,0.601433951997554,-0.1441890744955008,-0.5702613250657352,0.2553288945039013,0.1539320350629301,0.1943359375
2541,7.71052,79.86343,2026-09-04,08:35:00,n,340.21,296.07,3.6,D,,,,0,1.0,1.0,,,0.0,0.4680161246758738,-0.1048917626635366,-0.4937752518154944,0.3129776376854936,0.1906638186993162,0.42578125
2545,7.87883,79.93985,2026-09-04,08:35:00,n,335.54,295.96,2.72,D,,,,0,1.0,1.0,,,0.0,0.4124705847378913,0.0115116255859307,-0.4602103882456546,0.3455476028929852,0.2082871798936738,0.218994140625
2546,7.87908,80.031,2026-09-04,08:35:00,n,338.52,295.46,3.08,D,,,,0,1.0,1.0,,,0.0,0.5732176433503731,-0.1200262365881263,-0.5553033437584967,0.2746730359080601,0.1605473927809263,0.73974609375
2553,7.94493,80.62585,2026-09-04,08:35:00,n,332.78,295.73,3.01,D,,,,0,1.0,1.0,,,0.0,0.4107698281448345,0.010002912253009,-0.4811024684097239,0.286744775178704,0.1933744872831084,1.0
